cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,28,2024-12-22T12:24:40.821352,insect,0.9,46,TRACKED,0.1388,0.5919,0.2028,0.7138
raspberrypi,28,2024-12-22T12:24:41.833732,insect,0.89,46,TRACKED,0.1602,0.578,0.2192,0.7137
raspberrypi,28,2024-12-22T12:24:42.846896,insect,0.87,46,TRACKED,0.1657,0.5626,0.2244,0.6849
raspberrypi,28,2024-12-22T12:24:43.859600,insect,0.87,46,TRACKED,0.1626,0.5637,0.2187,0.6844
raspberrypi,28,2024-12-22T12:24:44.875185,insect,0.88,46,TRACKED,0.1578,0.5738,0.2098,0.6816
raspberrypi,28,2024-12-22T12:24:45.887109,insect,0.84,46,TRACKED,0.1505,0.5664,0.2067,0.6836
raspberrypi,28,2024-12-22T12:24:46.900972,insect,0.88,46,TRACKED,0.1363,0.5412,0.1953,0.6617
raspberrypi,28,2024-12-22T12:24:47.914255,insect,0.84,46,TRACKED,0.1391,0.5131,0.1984,0.645
raspberrypi,28,2024-12-22T12:24:48.926140,insect,0.9,46,TRACKED,0.1346,0.4775,0.1858,0.5978
raspberrypi,28,2024-12-22T12:24:49.938898,insect,0.86,46,TRACKED,0.1314,0.4789,0.1878,0.6053
raspberrypi,28,2024-12-22T12:24:50.951746,insect,0.84,46,TRACKED,0.1258,0.493,0.1856,0.6071
raspberrypi,28,2024-12-22T12:24:51.964608,insect,0.82,46,TRACKED,0.1371,0.4413,0.1811,0.5608
raspberrypi,28,2024-12-22T12:24:52.975733,insect,0.87,46,TRACKED,0.1748,0.3326,0.2364,0.4461
raspberrypi,28,2024-12-22T12:37:25.121407,insect,0.86,50,NEW,0.1363,0.3379,0.1729,0.3889
raspberrypi,28,2024-12-22T12:37:25.121407,insect,0.73,51,NEW,0.1723,0.1781,0.2047,0.2427
raspberrypi,28,2024-12-22T12:37:26.132425,insect,0.82,52,TRACKED,0.1681,0.4177,0.1984,0.4863
raspberrypi,28,2024-12-22T12:37:27.142951,insect,0.82,52,TRACKED,0.1682,0.4194,0.1973,0.4856
raspberrypi,28,2024-12-22T12:37:28.153389,insect,0.82,52,TRACKED,0.1677,0.418,0.198,0.4858
raspberrypi,28,2024-12-22T12:37:29.164837,insect,0.82,52,TRACKED,0.168,0.4186,0.1981,0.4852
raspberrypi,28,2024-12-22T12:37:30.183384,insect,0.83,52,TRACKED,0.1684,0.4195,0.1976,0.4843
raspberrypi,28,2024-12-22T12:37:31.195153,insect,0.82,52,TRACKED,0.1683,0.4192,0.1978,0.4848
raspberrypi,28,2024-12-22T12:37:32.206894,insect,0.82,52,TRACKED,0.1684,0.4186,0.1984,0.4853
raspberrypi,28,2024-12-22T12:37:33.219092,insect,0.83,52,TRACKED,0.1685,0.4194,0.1983,0.4849
raspberrypi,28,2024-12-22T12:37:34.231473,insect,0.83,52,TRACKED,0.1687,0.4194,0.1984,0.4861
raspberrypi,28,2024-12-22T12:37:35.243966,insect,0.83,52,TRACKED,0.1684,0.4188,0.1981,0.4848
raspberrypi,28,2024-12-22T12:37:36.257623,insect,0.83,52,TRACKED,0.1683,0.4176,0.1981,0.4847
raspberrypi,28,2024-12-22T12:37:37.274727,insect,0.83,52,TRACKED,0.1738,0.4273,0.2006,0.4858
raspberrypi,28,2024-12-22T12:37:38.286410,insect,0.85,52,TRACKED,0.1778,0.4336,0.2094,0.4902
raspberrypi,28,2024-12-22T12:37:39.299101,insect,0.84,52,TRACKED,0.1921,0.4378,0.2273,0.4894
raspberrypi,28,2024-12-22T12:37:40.310904,insect,0.84,52,TRACKED,0.2091,0.4282,0.2427,0.4838
